# TRULY FARMABLE ETC ITEMS
# Criteria:
#   - Drop rate >= 20% (2000/10000)
#   - Mob actually spawns in npc/pre-re/mobs/
#   - Item NOT given by any NPC
#   - Item from db/pre-re/item_db_etc.yml
# Total: 262 items
#
# Format: ItemID,ItemName,MobCount,TotalSpawns,BestDropRate
# ============================================================

929,Immortal Heart,1,80,9000
7220,Ectoplasm,2,80,5723
1043,Orc Claw,1,80,5500
1064,Reins,1,80,5335
7151,Oil Paper,2,80,5000
7762,Yaga's Pestle,1,80,5000
7150,Piece of Bamboo,2,80,4268
7163,Hard Feeler,1,75,4608
7098,Live Coal,2,75,3400
7168,Giant Butterfly Wing,1,75,2500
7152,Glossy Hair,1,73,5335
7153,Worn-out Kimono,1,73,2500
1020,Black Hair,2,71,9000
7111,Slick Paper,2,71,4947
7318,Old Pick,1,70,3000
901,Daenggie,1,68,9000
957,Decayed Nail,1,65,9000
1048,Horrendous Hair,2,65,5335
7507,Solid Iron Piece,2,64,3000
7512,Burnt Part,2,64,2000
922,Orc's Fang,1,60,5500
7156,Broken Shuriken,1,59,5335
7157,Dark Mask,1,59,2000
7315,Dark Crystal Fragment,1,57,3000
7164,Solid Peach,1,56,4365
7158,Broken Liquor Jar,1,55,5500
1063,Fang,1,55,4656
7159,Tengu Nose,1,55,3500
7067,Stone Fragment,2,51,4850
7165,Transparent Celestial Robe,2,51,3977
7149,Yellow Plate,1,50,6500
1044,Zenorc's Fang,1,50,5500
951,Fin,1,50,5335
7216,Red Muffler,1,50,4850
7162,Cloud Crumb,1,50,4656
7161,Black Bear Skin,1,50,4462
7221,Tangled Chains,1,50,3686
7167,Strange Steel Piece,1,50,3500
7205,Piece of Black Cloth,1,50,3200
7047,Alice's Apron,1,48,2500
964,Crab Shell,1,45,5500
1023,Fish Tail,1,45,5500
7267,Tiger Panty,1,45,4500
7264,Dry Sand,1,45,4365
1062,Jack o' Pumpkin,1,40,9000
1024,Squid Ink,1,40,9000
7218,Decomposed Rope,1,40,5335
7320,Dust Pollutant,2,40,5000
7195,Slingshot,1,40,4500
7222,Wooden Gnarl,1,40,4074
7200,Elastic Band,1,40,3500
1015,Tongue,3,37,9700
7155,Poisonous Toad Skin,1,36,5500
7154,Poisonous Powder,1,36,2400
7210,Armor Piece of Dullahan,1,35,4850
7209,Helm of Dullahan,1,35,3200
1094,Short Daenggie,1,33,5500
959,Stinky Scale,1,30,5500
7217,Spool,1,30,5335
1050,Tendon,1,30,5000
7192,Vane,1,30,5000
7215,Broken Needle,1,30,4365
7266,Denture from Dragon Mask,1,30,4365
1098,Manacles,1,30,3500
1099,Worn-out Prison Uniform,1,30,3500
7225,Pumpkin Lantern,1,30,3200
7187,Festival Mask,1,30,3000
7265,Dragon Horn,1,30,3000
7038,Yarn,1,30,3000
1051,Detonator,1,30,2500
7213,Needle Packet,1,30,2000
7299,Straw Basket,1,25,4850
7340,Will of the Darkness,1,25,3000
7326,Fluorescent Liquid,2,23,5000
7214,Bat Cage,1,21,5044
7112,Sharp Paper,1,21,3200
7219,Striped Sock,1,21,3000
7009,Glitter Shell,1,20,5335
7065,Sea-Otter Fur,1,20,4365
1039,Little Evil Wing,2,17,4850
7262,Folding Fan of Cat Ghost,1,15,4171
7263,Cat's Eye,1,15,2000
7011,Claw of Monkey,1,11,5335
7207,Old Manteau,1,11,4171
7208,Rusty Kitchen Knife,1,11,2000
7032,Piece of Egg Shell,1,10,5000
7125,Scorpion Claw,1,10,4365
7322,Toxic Gas,1,10,2000
7026,Key of Clock Tower,1,8,2000
7048,Talon of Griffon,1,7,2500
1014,Ant Jaw,2,5,5000
7439,Fragment of Despair,1,3,10000
7437,Fragment of Misery,1,3,10000
7436,Fragment of Agony,1,3,10000
1053,Ancient Tooth,1,3,9000
7316,Insect Leg,1,3,4500
7443,Three-Headed Dragon's Head,1,3,3880
7438,Fragment of Hatred,1,2,10000
7269,Pinafore,1,2,2500
994,Flame Heart,1,1,10000
7799,Crystal of Darkness,1,1,9000
7211,Fragment of Rossata Stone,1,1,7760
7566,Will of Red Darkness,1,1,7000
7113,Broken Pharaoh Emblem,1,1,5820
7169,Ba Gua,1,1,5820
7036,Fang of Hatii,1,1,5500
7070,Broken Shell,1,1,5335
7108,Piece of Shield,1,1,5335
7327,Flashlight,1,1,5000
7510,Valhalla's Flower,1,1,5000
7300,Gemstone,1,1,4850
7008,Stiff Horn,1,1,4850
7023,Blade Lost in Darkness,1,1,4000
7451,Fire Dragon Scale,1,1,3589
7513,Pocket Watch,1,1,3000
7035,Matchstick,1,1,2500
7024,Bloody Edge,1,1,2500
7022,Old Hilt,1,1,2000
